Designator,Mid X,Mid Y,Layer,Rotation
R223,60.425001mm,58.875002mm,Top,90.0
R222,56.825001mm,57.875002mm,Top,270.0
R221,58.025001mm,57.875002mm,Top,270.0
R220,59.225001000000006mm,57.875002mm,Top,270.0
R219,60.425001mm,57.875002mm,Top,270.0
R218,58.625001000000005mm,57.825002mm,Bottom,180.0
R217,61.625001000000005mm,58.875002mm,Top,90.0
R216,62.825001mm,58.875002mm,Top,90.0
R215,64.025001mm,58.875002mm,Top,90.0
R214,65.225001mm,58.875002mm,Top,90.0
R213,61.595001mm,57.875002mm,Top,270.0
R212,62.825001mm,57.875002mm,Top,270.0
R211,64.025001mm,57.875002mm,Top,270.0
R210,65.225001mm,57.875002mm,Top,270.0
R208,66.42500100000001mm,58.875002mm,Top,90.0
R207,67.625001mm,58.875002mm,Top,90.0
R206,68.825001mm,58.875002mm,Top,90.0
R205,70.025001mm,58.875002mm,Top,90.0
R204,66.42500100000001mm,57.875002mm,Top,270.0
R203,67.625001mm,57.875002mm,Top,270.0
R202,68.825001mm,57.875002mm,Top,270.0
R201,70.025001mm,57.875002mm,Top,270.0
R142,60.124901mm,53.475001999999996mm,Bottom,180.0
P106,48.625001000000005mm,45.075002mm,Top,90.0
P105,57.325001mm,44.875001999999995mm,Top,90.0
P104,53.025001mm,45.175002mm,Top,90.0
P201,36.355001mm,59.375002mm,Top,270.0
P200,71.325001mm,59.875002mm,Top,270.0
P103,43.825001mm,45.175002mm,Top,0.0
P102,40.925001mm,45.175002mm,Top,0.0
P101,37.925001mm,45.175002mm,Top,0.0
P100,36.625001000000005mm,43.975002mm,Top,0.0
J100,44.649901mm,32.322002mm,Bottom,180.0
D100,68.399801mm,34.009502mm,Bottom,0.0
D205,32.725001000000006mm,44.225002mm,Top,270.0
D207,39.425001mm,55.075002mm,Top,0.0
D206,44.225001000000006mm,55.075002mm,Top,0.0
D204,49.025001mm,55.075002mm,Top,0.0
D203,53.825001mm,55.075002mm,Top,0.0
D201,63.425001mm,55.075002mm,Top,0.0
D200,68.225001mm,55.075002mm,Top,0.0
D116,62.075001mm,42.275002mm,Top,0.0
D115,66.275001mm,42.275002mm,Top,0.0
D114,62.075001mm,40.475002mm,Top,0.0
D113,66.275001mm,40.475002mm,Top,0.0
D112,62.075001mm,38.675002mm,Top,0.0
D111,66.275001mm,38.675002mm,Top,0.0
D110,62.075001mm,36.875001999999995mm,Top,0.0
D109,66.275001mm,36.875001999999995mm,Top,0.0
D202,58.625001000000005mm,55.075002mm,Top,0.0
C143,35.325001mm,55.975001999999996mm,Top,90.0
C144,34.125001000000005mm,55.975001999999996mm,Top,270.0
C145,32.925001mm,55.975001999999996mm,Top,90.0
C146,31.725001000000006mm,55.975001999999996mm,Top,90.0
C112,61.925001mm,43.975002mm,Top,180.0
C111,68.42500100000001mm,43.875001999999995mm,Top,270.0
C117,34.937501000000005mm,36.675002mm,Bottom,90.0
C105,68.525001mm,31.075001999999998mm,Bottom,0.0
C100,70.67500100000001mm,31.075001999999998mm,Bottom,180.0
C285,63.84190100000001mm,51.875001999999995mm,Bottom,180.0
C280,60.50800100000001mm,51.875001999999995mm,Bottom,0.0
C275,70.14200100000001mm,51.875001999999995mm,Bottom,180.0
C270,66.808001mm,51.875001999999995mm,Bottom,0.0
